source_team_key	canonical_key	canonical_team_id	classification	legacy_members
legacy_dim_team:3684	component:3684	3000000000923	merge	3684,995302129873,1030639720503
legacy_dim_team:995302129873	component:3684	3000000000923	merge	3684,995302129873,1030639720503
legacy_dim_team:1030639720503	component:3684	3000000000923	merge	3684,995302129873,1030639720503
legacy_dim_team:3712	component:3712	3000000000924	separate	3712
legacy_dim_team:3750	component:3750	3000000000925	separate	3750
legacy_dim_team:3791	component:3791	3000000000926	separate	3791
legacy_dim_team:3807	component:3807	3000000000927	separate	3807
legacy_dim_team:3833	component:3833	3000000000928	separate	3833
legacy_dim_team:3859	component:3859	3000000000929	separate	3859
legacy_dim_team:3877	component:3877	3000000000930	separate	3877
legacy_dim_team:389	component:389	3000000000931	separate	389
legacy_dim_team:3930	component:3930	3000000000932	separate	3930
legacy_dim_team:3931	component:3931	3000000000933	merge	3931,1012741626663,1016725155035
legacy_dim_team:1012741626663	component:3931	3000000000933	merge	3931,1012741626663,1016725155035
legacy_dim_team:1016725155035	component:3931	3000000000933	merge	3931,1012741626663,1016725155035
legacy_dim_team:3958	component:3958	3000000000934	separate	3958
legacy_dim_team:3998	component:3998	3000000000935	separate	3998
legacy_dim_team:4092	component:4092	3000000000936	merge	4092,1003453546996,1040459121115
legacy_dim_team:1003453546996	component:4092	3000000000936	merge	4092,1003453546996,1040459121115
legacy_dim_team:1040459121115	component:4092	3000000000936	merge	4092,1003453546996,1040459121115
legacy_dim_team:4113	component:4113	3000000000937	separate	4113
legacy_dim_team:44	component:44	3000000000938	merge	44,910000000147,964738800034,1041199307908,1058583717866
legacy_dim_team:910000000147	component:44	3000000000938	merge	44,910000000147,964738800034,1041199307908,1058583717866
legacy_dim_team:964738800034	component:44	3000000000938	merge	44,910000000147,964738800034,1041199307908,1058583717866
legacy_dim_team:1041199307908	component:44	3000000000938	merge	44,910000000147,964738800034,1041199307908,1058583717866
legacy_dim_team:1058583717866	component:44	3000000000938	merge	44,910000000147,964738800034,1041199307908,1058583717866
legacy_dim_team:4400	component:4400	3000000000939	separate	4400
legacy_dim_team:4493	component:4493	3000000000940	separate	4493
legacy_dim_team:456	component:456	3000000000941	separate	456
legacy_dim_team:460	component:460	3000000000942	separate	460
legacy_dim_team:472	component:472	3000000000943	separate	472
legacy_dim_team:48	component:48	3000000000944	merge	48,997202299277,1040969603703
legacy_dim_team:997202299277	component:48	3000000000944	merge	48,997202299277,1040969603703
legacy_dim_team:1040969603703	component:48	3000000000944	merge	48,997202299277,1040969603703
legacy_dim_team:49	component:49	3000000000945	merge	49,1020434178693
legacy_dim_team:1020434178693	component:49	3000000000945	merge	49,1020434178693
legacy_dim_team:5197	component:5197	3000000000946	separate	5197
legacy_dim_team:52	component:52	3000000000947	merge	52,910000000028,963910848808,965181954518,989412098793,1028500171873,1039852762737
legacy_dim_team:910000000028	component:52	3000000000947	merge	52,910000000028,963910848808,965181954518,989412098793,1028500171873,1039852762737
legacy_dim_team:963910848808	component:52	3000000000947	merge	52,910000000028,963910848808,965181954518,989412098793,1028500171873,1039852762737
legacy_dim_team:965181954518	component:52	3000000000947	merge	52,910000000028,963910848808,965181954518,989412098793,1028500171873,1039852762737
legacy_dim_team:989412098793	component:52	3000000000947	merge	52,910000000028,963910848808,965181954518,989412098793,1028500171873,1039852762737
legacy_dim_team:1028500171873	component:52	3000000000947	merge	52,910000000028,963910848808,965181954518,989412098793,1028500171873,1039852762737
legacy_dim_team:1039852762737	component:52	3000000000947	merge	52,910000000028,963910848808,965181954518,989412098793,1028500171873,1039852762737
legacy_dim_team:520	component:520	3000000000948	merge	520,1051626574741
legacy_dim_team:1051626574741	component:520	3000000000948	merge	520,1051626574741
legacy_dim_team:5202	component:5202	3000000000949	separate	5202
legacy_dim_team:5203	component:5203	3000000000950	separate	5203
legacy_dim_team:526	component:526	3000000000951	separate	526
legacy_dim_team:5284	component:5284	3000000000952	separate	5284
legacy_dim_team:53	component:53	3000000000953	merge	53,1010866445461
legacy_dim_team:1010866445461	component:53	3000000000953	merge	53,1010866445461
legacy_dim_team:5317	component:5317	3000000000954	separate	5317
legacy_dim_team:5447	component:5447	3000000000955	separate	5447
legacy_dim_team:5457	component:5457	3000000000956	separate	5457
legacy_dim_team:5476	component:5476	3000000000957	separate	5476
legacy_dim_team:5479	component:5479	3000000000958	separate	5479
legacy_dim_team:5487	component:5487	3000000000959	separate	5487
legacy_dim_team:5495	component:5495	3000000000960	separate	5495
legacy_dim_team:5504	component:5504	3000000000961	separate	5504
legacy_dim_team:5511	component:5511	3000000000962	separate	5511
legacy_dim_team:5514	component:5514	3000000000963	separate	5514
legacy_dim_team:5526	component:5526	3000000000964	separate	5526
legacy_dim_team:5533	component:5533	3000000000965	separate	5533
legacy_dim_team:554	component:554	3000000000966	separate	554
legacy_dim_team:556	component:556	3000000000967	separate	556
legacy_dim_team:5582	component:5582	3000000000968	separate	5582
legacy_dim_team:5632	component:5632	3000000000969	separate	5632
legacy_dim_team:5638	component:5638	3000000000970	separate	5638
legacy_dim_team:5663	component:5663	3000000000971	separate	5663
legacy_dim_team:5686	component:5686	3000000000972	separate	5686
legacy_dim_team:57	component:57	3000000000973	merge	57,910000000952,1000335910657
legacy_dim_team:910000000952	component:57	3000000000973	merge	57,910000000952,1000335910657
legacy_dim_team:1000335910657	component:57	3000000000973	merge	57,910000000952,1000335910657
legacy_dim_team:571	component:571	3000000000974	separate	571
legacy_dim_team:5773	component:5773	3000000000975	separate	5773
legacy_dim_team:579	component:579	3000000000976	separate	579
legacy_dim_team:58	component:58	3000000000977	merge	58,981925968415,1013112469305,1020319919819
legacy_dim_team:981925968415	component:58	3000000000977	merge	58,981925968415,1013112469305,1020319919819
legacy_dim_team:1013112469305	component:58	3000000000977	merge	58,981925968415,1013112469305,1020319919819
legacy_dim_team:1020319919819	component:58	3000000000977	merge	58,981925968415,1013112469305,1020319919819
legacy_dim_team:58081	component:58081	3000000000978	separate	58081
legacy_dim_team:5834	component:5834	3000000000979	separate	5834
legacy_dim_team:585	component:585	3000000000980	merge	585,1017491503732,1056577951266
legacy_dim_team:1017491503732	component:585	3000000000980	merge	585,1017491503732,1056577951266
legacy_dim_team:1056577951266	component:585	3000000000980	merge	585,1017491503732,1056577951266
legacy_dim_team:587	component:587	3000000000981	merge	587,910000001328,1022558614038
legacy_dim_team:910000001328	component:587	3000000000981	merge	587,910000001328,1022558614038
legacy_dim_team:1022558614038	component:587	3000000000981	merge	587,910000001328,1022558614038
legacy_dim_team:5909	component:5909	3000000000982	separate	5909
legacy_dim_team:593	component:593	3000000000983	separate	593
legacy_dim_team:5956	component:5956	3000000000984	separate	5956
legacy_dim_team:5999	component:5999	3000000000985	separate	5999
legacy_dim_team:6	component:6	3000000000986	merge	6,910000000038,978766855928,1030192281185,1059242095532
legacy_dim_team:910000000038	component:6	3000000000986	merge	6,910000000038,978766855928,1030192281185,1059242095532
legacy_dim_team:978766855928	component:6	3000000000986	merge	6,910000000038,978766855928,1030192281185,1059242095532
legacy_dim_team:1030192281185	component:6	3000000000986	merge	6,910000000038,978766855928,1030192281185,1059242095532
legacy_dim_team:1059242095532	component:6	3000000000986	merge	6,910000000038,978766855928,1030192281185,1059242095532
legacy_dim_team:6013	component:6013	3000000000987	separate	6013
legacy_dim_team:602	component:602	3000000000988	separate	602
legacy_dim_team:6036	component:6036	3000000000989	merge	6036,989115352904,997449400305
legacy_dim_team:989115352904	component:6036	3000000000989	merge	6036,989115352904,997449400305
legacy_dim_team:997449400305	component:6036	3000000000989	merge	6036,989115352904,997449400305
