coach_identity_id,provider,provider_coach_id,coach_name,missing_reason,current_image_url,source_ref,source_status,source_file_name,source_url,source_error
153,sportmonks,456360,Carlos Corberán Vallet,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
154,sportmonks,185780,Iñigo Pérez,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
157,sportmonks,25583713,Hakan Keleş,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
159,sportmonks,7693712,Recep Uçar,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
161,sportmonks,37584223,Osman Zeki Korkmaz,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
162,sportmonks,456665,Marius Şumudică,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
166,sportmonks,2823326,Ali Yalçın,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
170,sportmonks,200291,Volkan Demirel,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
172,sportmonks,200634,İbrahim Üzülmez,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
173,sportmonks,456622,Hikmet Karaman,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
174,sportmonks,37468495,H. Kafkas,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
175,sportmonks,2823348,İsmail Kartal,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
177,sportmonks,14666800,Thomas Darazs,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
178,sportmonks,33212,Daniel Thioune,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
179,sportmonks,60788,Ilija Stolica,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
181,sportmonks,130528,Fabio Pecchia,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
182,sportmonks,37289874,Özhan Pulat,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
184,sportmonks,459324,Mehmet Altıparmak,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
192,sportmonks,23440,Sinan Kaloglu,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
202,sportmonks,883095,Gaizka Garitano Aguirre,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
206,sportmonks,896644,José Sandoval Huertas,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
207,sportmonks,532667,Rubén De La Barrera,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
208,sportmonks,533871,Rubén Albés Yáñez,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
209,sportmonks,37541656,António José Marreco Gouveia,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
210,sportmonks,523953,Bruno Génésio,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
211,sportmonks,185336,Moreno,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
212,sportmonks,186071,Paulo Pezzolano Suárez,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
213,sportmonks,526440,Borja Jiménez Sáez,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
214,sportmonks,527103,José González Álvarez,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
216,sportmonks,456038,Gian Gasperini,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
220,sportmonks,37735048,Saad Al Sabei,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
221,sportmonks,127495,Filippo Inzaghi,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
225,sportmonks,128261,Vincenzo Italiano,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
226,sportmonks,7387314,Davide Ballardini,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
234,sportmonks,332477,Gergely Geri,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
240,sportmonks,37610194,Paolo Vanoli,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
244,sportmonks,510,Cesc Fàbregas,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
245,sportmonks,524570,Gabriel Strefezza,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
246,sportmonks,3169772,Joe Edwards,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
247,sportmonks,455344,Tony Mowbray,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
248,sportmonks,524299,Luke Williams,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
249,sportmonks,7101,Steven Schumacher,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
251,sportmonks,37726653,Danny Röhl,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
252,sportmonks,37603525,Mike Dodds,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
254,sportmonks,3038,Neil Harris,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
255,sportmonks,37359725,Neil Dewsnip,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
256,sportmonks,17867632,Paul Hurst,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
257,sportmonks,367568,Alessio Dionisi,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
259,sportmonks,5961878,William Still,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
260,sportmonks,9616627,Nigel Adkins,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
261,sportmonks,23287458,Ben Dawson,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
262,sportmonks,896468,Ian Cathro,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
264,sportmonks,524571,Giovanni Martusciello,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
265,sportmonks,455664,Stefano Colantuono,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
266,sportmonks,37753202,Alfio Torrisi,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
267,sportmonks,19289999,Michele Santoni,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
268,sportmonks,459717,Bernd Hollerbach,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
269,sportmonks,465900,Vincenzo Vivarini,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
270,sportmonks,533904,Francisco López Fernández,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
283,sportmonks,37566248,Francesco Farioli,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
286,sportmonks,3187813,Luka Elsner,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
287,sportmonks,95023,Adil Hermach,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
288,sportmonks,1565780,Teddy Bertin,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
289,sportmonks,464864,Nicolas Usaï,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
290,sportmonks,97031,Alexandre Dujeux,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
292,sportmonks,456247,Christophe Pélissier,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
293,sportmonks,37575018,Edward Still,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
295,sportmonks,471442,Washington dos Santos,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
297,sportmonks,470838,Hélio Pinto dos Anjos,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
313,sportmonks,37523358,Pablo De Toledo Fernandez,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
320,sportmonks,224861,Umberto,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
329,sportmonks,524496,Jacek Magiera,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
330,sportmonks,1452203,Christian Ilzer,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
331,sportmonks,1552550,Gerald Scheiblehner,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
332,sportmonks,31255308,Andreas Heraf,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
334,sportmonks,12789649,Thomas Sageder,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
335,sportmonks,1552672,Markus Schopp,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
