competition_key,season,team_id,matches,covered_by_external_dated_fact,coverage_pct
brasileirao_b,2021,6764,38,0,0.0
brasileirao_b,2021,9181,38,0,0.0
brasileirao_b,2021,9323,38,0,0.0
brasileirao_b,2021,10017,38,0,0.0
brasileirao_b,2021,11550,38,0,0.0
brasileirao_b,2021,11941,38,0,0.0
brasileirao_b,2021,12157,38,0,0.0
brasileirao_b,2021,12180,38,0,0.0
brasileirao_b,2021,14710,38,0,0.0
brasileirao_b,2022,692,38,0,0.0
brasileirao_b,2022,696,37,0,0.0
brasileirao_b,2022,710,38,0,0.0
brasileirao_b,2022,2352,38,0,0.0
brasileirao_b,2022,2592,38,0,0.0
brasileirao_b,2022,2925,38,0,0.0
brasileirao_b,2022,3371,38,0,0.0
brasileirao_b,2022,3672,37,0,0.0
brasileirao_b,2022,3847,38,0,0.0
brasileirao_b,2022,3931,38,0,0.0
brasileirao_b,2022,6036,38,0,0.0
brasileirao_b,2022,6188,38,0,0.0
brasileirao_b,2022,6304,37,0,0.0
brasileirao_b,2022,6370,38,0,0.0
brasileirao_b,2022,6764,38,0,0.0
brasileirao_b,2022,9181,38,0,0.0
brasileirao_b,2022,11941,37,0,0.0
brasileirao_b,2022,12157,38,0,0.0
brasileirao_b,2022,13292,38,0,0.0
brasileirao_b,2022,14710,38,0,0.0
brasileirao_b,2023,48,38,0,0.0
brasileirao_b,2023,104,38,0,0.0
brasileirao_b,2023,710,38,0,0.0
brasileirao_b,2023,2352,38,0,0.0
brasileirao_b,2023,2592,38,0,0.0
brasileirao_b,2023,3440,38,0,0.0
brasileirao_b,2023,3672,37,0,0.0
brasileirao_b,2023,3931,38,0,0.0
brasileirao_b,2023,6036,38,0,0.0
brasileirao_b,2023,6188,38,0,0.0
brasileirao_b,2023,6370,38,0,0.0
brasileirao_b,2023,6468,37,0,0.0
brasileirao_b,2023,6544,38,0,0.0
brasileirao_b,2023,6764,38,0,0.0
brasileirao_b,2023,8331,38,0,0.0
brasileirao_b,2023,9181,38,0,0.0
brasileirao_b,2023,11126,38,0,0.0
brasileirao_b,2023,11941,38,0,0.0
brasileirao_b,2023,12220,38,0,0.0
brasileirao_b,2023,13292,38,0,0.0
brasileirao_b,2024,104,37,0,0.0
brasileirao_b,2024,710,38,0,0.0
brasileirao_b,2024,2352,38,0,0.0
brasileirao_b,2024,3478,38,0,0.0
brasileirao_b,2024,3672,38,0,0.0
brasileirao_b,2024,3684,38,0,0.0
brasileirao_b,2024,3931,38,0,0.0
brasileirao_b,2024,6188,18,0,0.0
brasileirao_b,2024,6285,38,0,0.0
brasileirao_b,2024,6304,38,0,0.0
brasileirao_b,2024,6325,37,0,0.0
brasileirao_b,2024,6370,37,0,0.0
brasileirao_b,2024,6468,38,0,0.0
brasileirao_b,2024,9323,38,0,0.0
brasileirao_b,2024,11126,38,0,0.0
brasileirao_b,2024,11941,38,0,0.0
brasileirao_b,2024,12220,38,0,0.0
brasileirao_b,2024,13292,38,0,0.0
brasileirao_b,2024,14710,38,0,0.0
brasileirao_b,2024,238918,38,0,0.0
brasileirao_b,2024,275822,19,0,0.0
brasileirao_b,2025,104,38,0,0.0
brasileirao_b,2025,710,38,0,0.0
brasileirao_b,2025,2505,38,0,0.0
brasileirao_b,2025,3432,38,0,0.0
brasileirao_b,2025,3478,38,0,0.0
brasileirao_b,2025,5463,38,0,0.0
brasileirao_b,2025,6036,38,0,0.0
brasileirao_b,2025,6188,38,0,0.0
brasileirao_b,2025,6285,38,0,0.0
brasileirao_b,2025,6325,38,0,0.0
brasileirao_b,2025,6370,38,0,0.0
brasileirao_b,2025,6468,38,0,0.0
brasileirao_b,2025,8331,38,0,0.0
brasileirao_b,2025,9323,37,0,0.0
brasileirao_b,2025,11550,38,0,0.0
brasileirao_b,2025,11642,38,0,0.0
brasileirao_b,2025,11941,38,0,0.0
brasileirao_b,2025,14710,38,0,0.0
brasileirao_b,2025,238918,37,0,0.0
bundesliga,2020,67,34,0,0.0
bundesliga,2020,503,34,0,0.0
bundesliga,2020,683,34,0,0.0
bundesliga,2020,794,34,0,0.0
bundesliga,2020,1079,34,0,0.0
bundesliga,2020,2726,34,0,0.0
bundesliga,2020,2927,34,0,0.0
bundesliga,2020,3319,34,0,0.0
bundesliga,2020,3320,34,0,0.0
bundesliga,2020,3543,34,0,0.0
bundesliga,2021,683,34,0,0.0
bundesliga,2021,794,34,0,0.0
bundesliga,2021,999,34,0,0.0
bundesliga,2021,1079,34,0,0.0
bundesliga,2021,2726,34,0,0.0
bundesliga,2021,2927,34,0,0.0
bundesliga,2021,3319,34,0,0.0
bundesliga,2021,3320,34,0,0.0
bundesliga,2021,3431,34,0,0.0
bundesliga,2021,3543,34,0,0.0
bundesliga,2022,67,34,0,0.0
bundesliga,2022,277,34,0,0.0
bundesliga,2022,683,34,0,0.0
bundesliga,2022,794,34,0,0.0
bundesliga,2022,999,34,0,0.0
bundesliga,2022,1079,34,0,0.0
bundesliga,2022,2726,34,0,0.0
bundesliga,2022,3319,34,0,0.0
bundesliga,2022,3320,34,0,0.0
bundesliga,2022,3543,34,0,0.0
bundesliga,2023,277,34,0,0.0
bundesliga,2023,482,34,0,0.0
bundesliga,2023,683,34,0,0.0
bundesliga,2023,794,34,0,0.0
bundesliga,2023,999,34,0,0.0
bundesliga,2023,1079,34,0,0.0
bundesliga,2023,2726,34,0,0.0
bundesliga,2023,2831,34,0,0.0
bundesliga,2023,3319,34,0,0.0
bundesliga,2023,3320,34,0,0.0
bundesliga,2023,3543,34,0,0.0
bundesliga,2024,277,34,0,0.0
bundesliga,2024,353,34,0,0.0
bundesliga,2024,683,34,0,0.0
bundesliga,2024,794,34,0,0.0
bundesliga,2024,999,34,0,0.0
bundesliga,2024,1079,34,0,0.0
bundesliga,2024,2726,34,0,0.0
bundesliga,2024,2831,34,0,0.0
bundesliga,2024,3319,34,0,0.0
bundesliga,2024,3543,34,0,0.0
champions_league,2020,8,10,0,0.0
champions_league,2020,9,13,0,0.0
champions_league,2020,14,6,0,0.0
champions_league,2020,18,13,0,0.0
champions_league,2020,43,8,0,0.0
champions_league,2020,44,6,0,0.0
champions_league,2020,49,8,0,0.0
champions_league,2020,53,2,0,0.0
champions_league,2020,61,2,0,0.0
champions_league,2020,83,8,0,0.0
champions_league,2020,112,11,0,0.0
champions_league,2020,216,2,0,0.0
champions_league,2020,260,3,0,0.0
champions_league,2020,290,5,0,0.0
champions_league,2020,340,6,0,0.0
champions_league,2020,349,2,0,0.0
champions_league,2020,368,5,0,0.0
champions_league,2020,443,1,0,0.0
champions_league,2020,490,6,0,0.0
champions_league,2020,503,10,0,0.0
champions_league,2020,554,1,0,0.0
champions_league,2020,556,9,0,0.0
champions_league,2020,598,6,0,0.0
champions_league,2020,602,8,0,0.0
champions_league,2020,605,1,0,0.0
champions_league,2020,621,6,0,0.0
champions_league,2020,625,8,0,0.0
champions_league,2020,627,2,0,0.0
champions_league,2020,629,6,0,0.0
champions_league,2020,647,2,0,0.0
champions_league,2020,649,4,0,0.0
champions_league,2020,652,10,0,0.0
champions_league,2020,676,8,0,0.0
champions_league,2020,683,8,0,0.0
champions_league,2020,708,8,0,0.0
champions_league,2020,762,1,0,0.0
champions_league,2020,939,10,0,0.0
champions_league,2020,1114,2,0,0.0
champions_league,2020,1294,1,0,0.0
champions_league,2020,1311,1,0,0.0
champions_league,2020,2402,3,0,0.0
champions_league,2020,2417,1,0,0.0
champions_league,2020,2645,8,0,0.0
champions_league,2020,2673,3,0,0.0
champions_league,2020,2742,2,0,0.0
champions_league,2020,2930,6,0,0.0
champions_league,2020,2963,6,0,0.0
champions_league,2020,2997,5,0,0.0
champions_league,2020,3451,1,0,0.0
champions_league,2020,3468,12,0,0.0
champions_league,2020,3529,2,0,0.0
champions_league,2020,3546,1,0,0.0
champions_league,2020,3599,2,0,0.0
champions_league,2020,3678,2,0,0.0
champions_league,2020,3702,6,0,0.0
champions_league,2020,3833,1,0,0.0
champions_league,2020,5202,2,0,0.0
champions_league,2020,5284,2,0,0.0
champions_league,2020,5317,3,0,0.0
champions_league,2020,5426,1,0,0.0
champions_league,2020,5428,1,0,0.0
champions_league,2020,5444,1,0,0.0
champions_league,2020,5447,1,0,0.0
champions_league,2020,5878,2,0,0.0
champions_league,2020,5909,1,0,0.0
champions_league,2020,6007,3,0,0.0
champions_league,2020,7980,8,0,0.0
champions_league,2020,8697,1,0,0.0
champions_league,2020,132649,1,0,0.0
champions_league,2020,148038,2,0,0.0
champions_league,2020,234886,1,0,0.0
champions_league,2021,8,13,0,0.0
champions_league,2021,9,12,0,0.0
champions_league,2021,14,8,0,0.0
champions_league,2021,18,10,0,0.0
champions_league,2021,34,2,0,0.0
champions_league,2021,49,10,0,0.0
champions_league,2021,53,2,0,0.0
champions_league,2021,58,8,0,0.0
