competition_key,season,season_label,matches,start_year,home_ppg,away_ppg,home_advantage_ppg,home_win_rate,draw_rate,away_win_rate,home_goals_per_match,away_goals_per_match
austrian_bundesliga,2018,2018,190,2018,1.5105263157894737,1.2736842105263158,0.23684210526315788,0.43157894736842106,0.21578947368421053,0.3526315789473684,1.5315789473684212,1.3421052631578947
austrian_bundesliga,2019,2019,195,2019,1.3333333333333333,1.4564102564102563,-0.12307692307692308,0.37435897435897436,0.21025641025641026,0.4153846153846154,1.6871794871794872,1.6
austrian_bundesliga,2020,2020,158,2020,1.3417721518987342,1.4177215189873418,-0.0759493670886076,0.3670886075949367,0.24050632911392406,0.3924050632911392,1.5886075949367089,1.6139240506329113
austrian_bundesliga,2021,2021,234,2021,1.4658119658119657,1.2606837606837606,0.20512820512820512,0.3974358974358974,0.27350427350427353,0.32905982905982906,1.547008547008547,1.358974358974359
austrian_bundesliga,2022,2022,183,2022,1.4043715846994536,1.3224043715846994,0.08196721311475409,0.3770491803278688,0.273224043715847,0.34972677595628415,1.4918032786885247,1.4426229508196722
austrian_bundesliga,2023,2023,201,2023,1.4378109452736318,1.2885572139303483,0.14925373134328357,0.3880597014925373,0.2736318407960199,0.3383084577114428,1.4477611940298507,1.2935323383084578
austrian_bundesliga,2024,2024,145,2024,1.4620689655172414,1.2344827586206897,0.22758620689655173,0.38620689655172413,0.30344827586206896,0.3103448275862069,1.4896551724137932,1.186206896551724
belgian_pro_league,2000,2000,161,2000,1.795031055900621,1.0124223602484472,0.782608695652174,0.5341614906832298,0.19254658385093168,0.2732919254658385,1.950310559006211,1.3726708074534162
belgian_pro_league,2001,2001,298,2001,1.6342281879194631,1.110738255033557,0.5234899328859061,0.4597315436241611,0.2550335570469799,0.28523489932885904,1.6979865771812082,1.3187919463087248
belgian_pro_league,2002,2002,264,2002,1.6893939393939394,1.053030303030303,0.6363636363636364,0.4772727272727273,0.25757575757575757,0.26515151515151514,1.9431818181818181,1.321969696969697
belgian_pro_league,2003,2003,153,2003,1.5816993464052287,1.130718954248366,0.45098039215686275,0.43137254901960786,0.2875816993464052,0.28104575163398693,1.4313725490196079,1.1503267973856208
belgian_pro_league,2004,2004,257,2004,1.6964980544747081,1.0544747081712063,0.642023346303502,0.48249027237354086,0.2490272373540856,0.26848249027237353,1.6848249027237354,1.132295719844358
belgian_pro_league,2005,2005,220,2005,1.7454545454545454,1.0227272727272727,0.7227272727272728,0.5045454545454545,0.2318181818181818,0.2636363636363636,1.709090909090909,1.1272727272727272
belgian_pro_league,2006,2006,297,2006,1.7003367003367003,1.0235690235690236,0.6767676767676768,0.47474747474747475,0.2760942760942761,0.24915824915824916,1.4814814814814814,0.9797979797979798
belgian_pro_league,2007,2007,304,2007,1.7467105263157894,0.9868421052631579,0.7598684210526315,0.4934210526315789,0.26644736842105265,0.24013157894736842,1.6611842105263157,1.1842105263157894
